,year,semester,course_id,class_number,counts,key
243,2021,2,II3240,2,51,2021-2-II3240-2
244,2021,2,II3260,1,57,2021-2-II3260-1
245,2021,2,II3260,2,50,2021-2-II3260-2
246,2021,2,II4031,1,21,2021-2-II4031-1
247,2021,2,II4034,1,5,2021-2-II4034-1
248,2021,2,II4035,1,8,2021-2-II4035-1
249,2021,2,II4038,1,29,2021-2-II4038-1
250,2021,2,II4039,1,54,2021-2-II4039-1
251,2021,2,II4051,1,14,2021-2-II4051-1
252,2021,2,II4062,1,23,2021-2-II4062-1
253,2021,2,II4090,1,12,2021-2-II4090-1
254,2021,2,II4091,1,13,2021-2-II4091-1
255,2021,2,II4092,1,65,2021-2-II4092-1
256,2021,2,II4472,1,71,2021-2-II4472-1
257,2021,3,II3160,1,3,2021-3-II3160-1
258,2021,3,II4042,1,2,2021-3-II4042-1
259,2022,1,IF2110,1,67,2022-1-IF2110-1
260,2022,1,IF2110,2,68,2022-1-IF2110-2
261,2022,1,IF2110,3,29,2022-1-IF2110-3
262,2022,1,IF2111,1,69,2022-1-IF2111-1
263,2022,1,IF2111,2,73,2022-1-IF2111-2
264,2022,1,IF2111,3,31,2022-1-IF2111-3
265,2022,1,IF2112,1,64,2022-1-IF2112-1
266,2022,1,IF2112,2,61,2022-1-IF2112-2
267,2022,1,IF2120,1,69,2022-1-IF2120-1
268,2022,1,IF2120,2,67,2022-1-IF2120-2
269,2022,1,IF2120,3,30,2022-1-IF2120-3
270,2022,1,IF2121,1,69,2022-1-IF2121-1
271,2022,1,IF2121,2,66,2022-1-IF2121-2
272,2022,1,IF2121,3,30,2022-1-IF2121-3
273,2022,1,IF2123,1,67,2022-1-IF2123-1
274,2022,1,IF2123,2,67,2022-1-IF2123-2
275,2022,1,IF2123,3,30,2022-1-IF2123-3
276,2022,1,IF2124,1,71,2022-1-IF2124-1
277,2022,1,IF2124,2,66,2022-1-IF2124-2
278,2022,1,IF2124,3,30,2022-1-IF2124-3
279,2022,1,IF2130,1,76,2022-1-IF2130-1
280,2022,1,IF2130,2,67,2022-1-IF2130-2
281,2022,1,IF2130,3,26,2022-1-IF2130-3
282,2022,1,IF2140,1,70,2022-1-IF2140-1
283,2022,1,IF2140,2,72,2022-1-IF2140-2
284,2022,1,IF2140,3,31,2022-1-IF2140-3
285,2022,1,IF3110,1,67,2022-1-IF3110-1
286,2022,1,IF3110,2,59,2022-1-IF3110-2
287,2022,1,IF3110,3,59,2022-1-IF3110-3
288,2022,1,IF3130,1,58,2022-1-IF3130-1
289,2022,1,IF3130,2,56,2022-1-IF3130-2
290,2022,1,IF3130,3,59,2022-1-IF3130-3
291,2022,1,IF3140,1,68,2022-1-IF3140-1
292,2022,1,IF3140,2,63,2022-1-IF3140-2
293,2022,1,IF3140,3,60,2022-1-IF3140-3
294,2022,1,IF3141,1,61,2022-1-IF3141-1
295,2022,1,IF3141,2,58,2022-1-IF3141-2
296,2022,1,IF3141,3,57,2022-1-IF3141-3
297,2022,1,IF3150,1,62,2022-1-IF3150-1
298,2022,1,IF3150,2,57,2022-1-IF3150-2
299,2022,1,IF3150,3,57,2022-1-IF3150-3
300,2022,1,IF3151,1,63,2022-1-IF3151-1
301,2022,1,IF3151,2,59,2022-1-IF3151-2
302,2022,1,IF3151,3,58,2022-1-IF3151-3
303,2022,1,IF3152,1,56,2022-1-IF3152-1
304,2022,1,IF3152,2,58,2022-1-IF3152-2
305,2022,1,IF3170,1,62,2022-1-IF3170-1
306,2022,1,IF3170,2,57,2022-1-IF3170-2
307,2022,1,IF3170,3,56,2022-1-IF3170-3
308,2022,1,IF4031,1,61,2022-1-IF4031-1
309,2022,1,IF4031,2,55,2022-1-IF4031-2
310,2022,1,IF4040,1,20,2022-1-IF4040-1
311,2022,1,IF4041,1,61,2022-1-IF4041-1
312,2022,1,IF4043,1,65,2022-1-IF4043-1
313,2022,1,IF4052,1,59,2022-1-IF4052-1
314,2022,1,IF4070,1,63,2022-1-IF4070-1
315,2022,1,IF4071,1,55,2022-1-IF4071-1
316,2022,1,IF4072,1,85,2022-1-IF4072-1
317,2022,1,IF4073,1,54,2022-1-IF4073-1
318,2022,1,IF4074,1,60,2022-1-IF4074-1
319,2022,1,IF4090,1,12,2022-1-IF4090-1
320,2022,1,IF4091,1,107,2022-1-IF4091-1
321,2022,1,IF4091,2,116,2022-1-IF4091-2
322,2022,1,IF4092,1,56,2022-1-IF4092-1
323,2022,1,IF5092,1,1,2022-1-IF5092-1
324,2022,1,IF5099,1,17,2022-1-IF5099-1
325,2022,1,IF5099,2,10,2022-1-IF5099-2
326,2022,1,IF5100,1,37,2022-1-IF5100-1
327,2022,1,IF5100,2,30,2022-1-IF5100-2
328,2022,1,IF5120,1,16,2022-1-IF5120-1
329,2022,1,IF5121,1,9,2022-1-IF5121-1
330,2022,1,IF5130,1,31,2022-1-IF5130-1
331,2022,1,IF5131,1,19,2022-1-IF5131-1
332,2022,1,IF5132,1,17,2022-1-IF5132-1
333,2022,1,IF5140,1,18,2022-1-IF5140-1
334,2022,1,IF5143,1,13,2022-1-IF5143-1
335,2022,1,IF5170,1,21,2022-1-IF5170-1
336,2022,1,IF5171,1,20,2022-1-IF5171-1
337,2022,1,IF5180,1,21,2022-1-IF5180-1
338,2022,1,IF5180,2,30,2022-1-IF5180-2
339,2022,1,IF5200,1,24,2022-1-IF5200-1
340,2022,1,IF5200,2,22,2022-1-IF5200-2
341,2022,1,IF5200,3,24,2022-1-IF5200-3
342,2022,1,IF5252,1,14,2022-1-IF5252-1
343,2022,1,IF5281,1,10,2022-1-IF5281-1
344,2022,1,IF6010,1,11,2022-1-IF6010-1
345,2022,1,IF6046,1,29,2022-1-IF6046-1
346,2022,1,IF6080,1,14,2022-1-IF6080-1
347,2022,1,IF6083,1,10,2022-1-IF6083-1
348,2022,1,IF6090,1,1,2022-1-IF6090-1
349,2022,1,IF6091,1,6,2022-1-IF6091-1
350,2022,1,IF6093,1,8,2022-1-IF6093-1
351,2022,1,IF6099,1,48,2022-1-IF6099-1
352,2022,1,IF6130,1,3,2022-1-IF6130-1
353,2022,1,IF6170,1,22,2022-1-IF6170-1
354,2022,1,II2110,1,68,2022-1-II2110-1
355,2022,1,II2110,2,71,2022-1-II2110-2
356,2022,1,II2110,3,31,2022-1-II2110-3
357,2022,1,II2111,1,68,2022-1-II2111-1
